Navn,IMO-nummer,MMSI-nummer
BARØY,9607394,257741000
BASTØ ELECTRIC,9878993,257122880
BASTØ I,9144081,259401000
BASTØ II,9144093,259402000
BASTØ IV,9771420,257845600
BASTØ V,9771432,257846800
BASTØ VI,9769219,257847600
BJARKØY,1045796,
BODØ,9151010,257778000
BØMLO,9299408,259344000
BØRTIND,9894167,257101730
ESTELLE,0,
FLATØY,9822061,257055990
FLØYTIND,1081506,
FROVÆR,9699933,257119000
FRØYAFERJA,7529938,257306400
FYKAN,9081966,259681000
FÆRØY,9825829,257055910
GEISNES,8805353,257253400
GILDESKÅL,9081930,259680000
HADSEL,1050428,
HAMARØY,9056313,257362500
HARAM,7812529,257211400
HARANES,7017600,257308600
HEILHORN,9865221,257099310
HELGØY,1062897,
HINNØY,9969766,258030970
HORNSTIND,9796987,257147000
HUFTARØY,9825805,257055930
HURUMFERJA,7325681,257053700
HÅLOGALAND,9260885,258472000
KARLSØY,7405948,257292400
KJELLA,8615277,257049700
KJERRINGØY,7825588,257293400
KVALØY,9588794,257072000
KVÆNANGEN,9353929,258032500
LAGATUN,9820398,257057960
LANDEGODE,9607370,259987000
LEKA,9230866,258048000
LIV GRANNES,9907902,257003720
LYNGEN,9260873,257187000
LYSINGEN,9030371,257266500
LYSØY,9822073,257056190
LØDINGEN,9607409,257837000
MALANGEN,9247003,258149000
MELFJORD,8714360,257317400
MELSHORN,9210610,259649000
MISTERØY,1081491,
MOSKENES,1059955,
MUNKEN,9820403,257057980
OLAV DUUN,9189328,259589000
RAMTIND,7725910,257347400
REBBENESØY,9589449,259994000
REINØY,8803006,257350400
RØDØY,9030357,257230000
RØST,1059967,
SALTVÆR,1058585,
SAMNØY,9825817,257055860
SEILAND,1089405,257432050
SELBJØRNSFJORD,9553335,259094000
SIGRID SIGURDSDOTTER,9907914,257014160
SNØFJELL,,258819000
STETIND,7633662,257215500
SVELVIK,9907990,258010350
TORGHATTEN,9234707,257279000
TORGTIND,9189445,259546000
TRANØY,8917340,257310500
TRONDENES,8112641,257396400
TRONDHEIM,9018634,257015700
TRONDHEIMSFJORD I,9432177,257304900
TRONDHEIMSFJORD II,9432189,257114400
TYSFJORD,9056301,257363500
ULØYTIND,9589451,257129600
VARDEHORN,9210622,259650000
VARGSUND,1089390,259049300
VENGSØY,9588782,257067000
VETLEFJORD,9264348,257163000
VIKNA,6808662,257078700
VIRAK,7805162,257377500
VÅGAN,9218351,259679000
VÆRØY,9607382,259988000
YTTERØY,9724130,258046000
ØRNES,9081942,257292000
ØRTIND,9196876,259552000
